departamento,codigo_departamento,municipio,codigo_municipio,poblacion,1/1/2021,1/2/2021
JUTIAPA,22,ASUNCION MITA,2205,51770,0,1
SOLOLA,7,SANTA CLARA LA LAGUNA,707,10200,0,0
ALTA VERAPAZ,16,LANQUIN,1611,26146,0,0
ALTA VERAPAZ,16,TUCURU,1606,50093,0,0
HUEHUETENANGO,13,SANTIAGO CHIMALTENANGO,1330,13971,0,0
BAJA VERAPAZ,15,SAN JERONIMO,1507,27591,0,0
QUICHE,14,CHICHE,1402,32038,0,0
QUICHE,14,NEBAJ,1413,75979,0,0
QUETZALTENANGO,9,SIBILIA,905,8766,0,0
HUEHUETENANGO,13,SAN MIGUEL ACATAN,1313,35071,0,0
JUTIAPA,22,EL PROGRESO,2202,25189,0,0
QUETZALTENANGO,9,CAJOLA,907,18896,0,0
HUEHUETENANGO,13,BARILLAS,1326,122466,0,0
HUEHUETENANGO,13,TODOS SANTOS CUCHUMATAN,1315,38303,0,0
ALTA VERAPAZ,16,CHAHAL,1614,28890,0,0
QUICHE,14,SAN ANTONIO ILOTENANGO,1408,30134,0,0
BAJA VERAPAZ,15,GRANADOS,1505,14380,0,0
SAN MARCOS,12,LA REFORMA,1221,23394,0,0
HUEHUETENANGO,13,SANTA EULALIA,1317,50171,0,0
ALTA VERAPAZ,16,LA TINTA,1616,44819,0,0
JALAPA,21,SAN LUIS JILOTEPEQUE,2103,26170,0,0
TOTONICAPAN,8,SANTA MARIA CHIQUIMULA,806,58526,0,0
QUICHE,14,CUNEN,1410,46350,0,0
QUICHE,14,SAN JUAN COTZAL,1411,35616,0,0
SAN MARCOS,12,SAN CRISTOBAL CUCHO,1225,17811,0,0
HUEHUETENANGO,13,SANTA BARBARA,1310,42667,0,0
QUICHE,14,SAN MIGUEL USPANTAN,1415,72955,0,0
SAN MARCOS,12,TACANA,1207,81005,0,0
JUTIAPA,22,JALPATAGUA,2212,30912,0,0
PETEN,17,SAN JOSE,1702,7103,0,0
BAJA VERAPAZ,15,EL CHOL,1506,10229,0,0
SAN MARCOS,12,SAN MIGUEL IXTAHUACAN,1205,51975,0,0
HUEHUETENANGO,13,UNION CANTINIL,1332,17393,0,0
HUEHUETENANGO,13,SAN JUAN IXCOY,1323,30205,0,0
ZACAPA,19,CABAÑAS,1907,14440,0,0
SAN MARCOS,12,SAN JOSE OJETENAM,1224,22423,0,0
HUEHUETENANGO,13,CONCEPCION HUISTA,1322,20384,0,0
QUICHE,14,SAN ANDRES SAJCABAJA,1414,27522,0,0
JUTIAPA,22,JEREZ,2208,6706,0,0
HUEHUETENANGO,13,SAN MATEO IXTATAN,1318,57277,0,0
JUTIAPA,22,AGUA BLANCA,2204,17322,0,0
QUETZALTENANGO,9,HUITAN,915,14522,0,0
QUETZALTENANGO,9,PALESTINA DE LOS ALTOS,924,20299,0,0
HUEHUETENANGO,13,JACALTENANGO,1307,42375,0,0
BAJA VERAPAZ,15,PURULHA,1508,64292,0,0
ESCUINTLA,5,IZTAPA,510,19778,0,0
SAN MARCOS,12,SIBINAL,1208,16786,0,0
